@RELATION flags
@attribute landmass	{1, 2, 3, 4, 5, 6}
@attribute zone	{1, 2, 3, 4}
@attribute area	numeric
@attribute population numeric
@attribute language {1, 2, 3, 4, 5, 6, 7, 8, 9, 10} 
@attribute religion {0, 1, 2, 3, 4, 5, 6, 7}
@attribute bars     numeric
@attribute stripes  numeric
@attribute colours  numeric
@attribute circles  numeric
@attribute crosses  numeric
@attribute saltires numeric
@attribute quarters numeric
@attribute sunstars numeric
@attribute crescent {0, 1}
@attribute triangle {0, 1}
@attribute icon     {0, 1}
@attribute animate  {0, 1}
@attribute text     {0, 1}
@attribute red      {0, 1}
@attribute green    {0, 1}
@attribute blue     {0, 1}
@attribute yellow   {0, 1}
@attribute white    {0, 1}
@attribute black    {0, 1}
@attribute orange   {0, 1}
@data
5,1,648,?,10,2,0,3,5,0,0,?,0,1,?,0,1,0,?,1,1,0,1,1,?,0
3,1,29,?,?,6,?,0,3,?,0,?,0,1,0,0,?,?,0,?,0,0,1,0,1,0
?,1,?,20,8,2,2,?,3,?,0,0,?,?,1,0,?,0,0,1,?,0,0,1,?,0
6,3,0,?,1,1,?,0,5,0,?,0,?,?,0,?,1,1,0,1,0,1,1,1,0,1
3,1,?,0,6,0,?,0,3,0,?,?,?,?,0,0,0,0,0,1,0,1,1,0,0,0
4,2,?,7,?,5,0,?,3,0,0,?,0,1,0,0,1,0,0,1,0,0,1,0,1,0
?,4,0,0,1,?,0,1,3,0,0,?,0,0,0,?,0,1,0,0,0,1,0,1,0,1
?,4,0,0,?,1,0,?,5,0,0,0,?,?,0,1,0,?,0,1,?,1,?,1,?,0
2,3,2777,28,2,0,0,?,?,0,0,0,0,?,0,0,0,0,0,?,0,1,0,1,?,0
2,?,2777,?,2,0,0,3,?,0,0,0,?,1,?,?,?,0,0,0,0,1,1,?,?,0
?,2,7690,15,1,1,?,?,?,0,1,?,?,6,0,0,0,0,0,1,0,?,0,1,0,?
3,1,?,8,?,0,?,3,?,0,0,0,0,0,0,0,0,0,0,1,0,0,?,1,0,?
?,?,19,0,1,1,0,3,3,0,?,0,?,0,0,1,0,0,0,?,0,?,?,?,1,0
?,1,?,?,?,2,?,0,?,0,0,?,?,0,0,0,0,0,0,?,0,0,?,1,0,0
5,1,143,90,6,2,0,?,?,1,?,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,4,0,0,1,?,3,0,3,0,0,0,0,0,0,0,1,0,0,?,0,1,1,0,1,0
3,1,?,10,6,?,3,0,?,0,0,0,0,?,0,?,0,?,?,1,0,0,1,0,?,0
1,4,23,0,?,1,0,2,8,1,?,0,?,0,0,0,1,1,1,1,1,1,?,1,1,1
4,?,?,?,3,5,?,0,?,0,0,0,0,1,0,0,0,0,?,1,1,0,?,0,?,?
1,4,0,0,1,1,0,?,6,1,?,1,1,?,0,0,?,?,0,?,?,?,1,?,1,?
5,1,?,1,10,3,0,0,4,4,0,0,?,0,?,0,0,?,0,1,0,0,0,1,1,1
2,3,1099,?,2,0,0,3,?,0,0,0,0,?,0,0,?,0,?,1,1,0,1,?,0,0
?,2,600,?,10,?,0,5,3,0,?,0,0,?,0,0,0,?,?,?,0,1,?,1,?,0
?,3,8512,119,6,0,?,0,?,1,0,0,0,22,?,?,0,0,?,0,1,1,1,1,0,?
1,4,0,0,1,1,0,0,6,?,1,?,1,0,0,0,1,1,1,1,1,?,?,?,0,?
5,1,6,?,10,?,0,0,?,0,?,0,0,0,0,1,1,1,1,1,?,0,1,?,1,0
?,1,111,9,?,6,?,3,?,?,0,0,0,?,0,0,?,1,0,1,1,1,1,1,?,0
?,4,274,7,3,?,?,?,?,?,0,?,?,?,0,?,0,0,?,1,?,0,?,0,0,?
?,1,?,35,10,3,?,?,3,0,0,0,1,?,?,0,?,?,?,1,0,?,0,1,0,?
?,2,?,4,10,?,0,?,3,1,0,1,0,3,0,?,0,0,0,?,?,0,?,1,0,0
4,1,474,8,3,1,3,0,3,0,?,0,?,1,0,?,0,0,?,1,1,?,1,0,?,0
1,4,?,24,1,1,2,0,2,?,0,0,0,0,0,?,0,1,0,1,0,0,?,1,0,?
?,?,4,0,6,0,1,?,?,?,?,0,?,1,?,?,0,1,0,1,1,0,?,0,1,1
?,4,?,0,1,1,0,0,?,1,1,?,?,4,?,?,1,?,?,1,1,1,1,1,?,1
?,?,623,2,?,5,1,?,5,?,?,0,?,1,0,0,0,?,0,1,1,1,?,1,0,0
4,1,1284,4,3,5,3,0,3,0,0,0,?,?,0,?,0,?,?,1,0,1,?,?,?,0
2,3,757,11,2,0,?,2,3,?,0,0,1,1,0,?,0,0,0,1,0,1,0,1,?,0
?,1,?,1008,?,?,0,0,2,0,0,0,0,?,0,?,0,0,0,?,0,0,?,?,0,0
2,?,1139,28,2,?,0,3,3,?,0,?,0,0,?,0,0,?,?,1,0,1,1,0,0,0
4,2,2,0,3,2,0,0,2,0,?,0,0,4,1,?,?,0,?,?,?,0,0,?,0,0
4,?,342,2,10,?,0,?,3,?,?,0,0,1,0,0,?,1,0,1,1,0,1,0,0,0
6,?,?,?,1,?,?,0,4,?,1,1,1,15,0,?,0,0,0,?,0,1,0,1,0,0
?,?,51,2,?,0,0,5,3,0,?,0,?,0,0,?,0,0,0,1,0,?,0,?,0,0
1,?,115,?,?,6,?,5,?,0,0,?,0,1,0,1,0,0,0,1,0,1,0,1,?,?
?,1,9,?,?,?,0,0,?,0,0,0,0,0,0,?,?,1,0,0,1,?,?,?,?,?
3,1,?,15,5,6,0,?,3,0,0,?,0,0,?,?,?,0,0,?,0,1,0,1,0,?
3,1,43,?,6,1,?,?,?,0,1,0,?,?,?,0,0,0,0,1,?,0,?,1,0,0
?,?,22,0,3,2,?,0,4,0,0,0,0,?,0,?,0,0,?,1,1,1,0,1,?,0
1,4,0,0,?,?,0,?,6,?,0,0,0,10,?,0,0,1,?,?,?,1,1,1,1,?
1,?,49,6,?,0,?,?,3,0,1,0,?,0,0,0,0,0,0,1,0,1,?,?,0,0
